公开号,名称,关系
CN109600292A,安徽皖通邮电股份有限公司,申请
CN108726395A,中铁工程机械研究设计院有限公司,申请
CN106530182A,天津市鸿远电气股份有限公司,申请
CN107026870A,桂斌,申请
CN207784402U,广州新远路桥技术有限公司,申请
CN206042476U,成都四为电子信息股份有限公司,申请
CN106679813A,深圳供电局有限公司,申请
CN106679813A,浙江国自机器人技术有限公司,申请
CN108387073A,安吉明微智科技有限公司,申请
CN108019220A,成都汇智远景科技有限公司,申请
CN304209492S,传线网络科技（上海）有限公司,申请
CN108051852A,钱荣毅,申请
CN206411871U,德阳力久云智知识产权运营有限公司,申请
CN207080388U,天津中隧通风机有限公司,申请
CN108805780A,张恒亮,申请
CN107494649A,湖北巴山食品有限责任公司,申请
CN108983262A,兰州交通大学,申请
CN108762768A,烽火通信科技股份有限公司,申请
CN105952460A,中车建设工程有限公司,申请
CN207620797U,中国铁路总公司,申请
CN207620797U,西南交通大学,申请
CN109300160A,上海市建筑科学研究院,申请
CN105822323A,西南交通大学,申请
CN107991577A,国网辽宁省电力有限公司葫芦岛供电公司,申请
CN108981778A,云南航天工程物探检测股份有限公司,申请
CN106603659A,南京邮电大学,申请
CN106285782A,中国矿业大学（北京）,申请
CN108062061A,黑龙江傲立辅龙科技开发有限公司,申请
CN107401410A,青岛理工大学,申请
CN108111805A,国网上海市电力公司,申请
CN108917638A,浙江科技学院,申请
CN107201903A,北京工业大学,申请
CN107201903A,中国铁建重工集团有限公司,申请
CN107201903A,北京玖瑞科技有限公司,申请
CN110567955A,北京瑞途科技有限公司,申请
CN206903693U,上海城建投资发展有限公司,申请
CN206903693U,上海市地下空间设计研究总院有限公司,申请
CN108120261A,登封市宏远电热元件有限公司,申请
CN207033460U,上海市地下空间设计研究总院有限公司,申请
CN107507402A,刘应波,申请
CN107507402A,云南省科学技术情报研究院,申请
CN111352412A,深圳信通环球科技有限公司,申请
CN304588287S,中国铁路经济规划研究院,申请
CN304588287S,北京铁五院工程机械有限公司,申请
CN304588287S,中铁第五勘察设计院集团有限公司,申请
CN107544577A,中材江苏太阳能新材料有限公司,申请
CN107610491A,河南理工大学,申请
CN107218899A,北斗卫星导航科技邢台有限公司,申请
CN108235543A,安徽极光照明工程有限公司,申请
CN106768736A,中国科学技术大学,申请
CN107287541A,常州市左贤机械制造有限公司,申请
CN206907025U,马艳飞,申请
CN206907025U,盛顶兴,申请
CN109765457A,国网山西省电力公司晋中供电公司,申请
CN109765457A,西南大学,申请
CN106002647A,宁波交通工程建设集团有限公司,申请
CN206301484U,张卓,申请
CN107604838A,王少峰,申请
CN106884662A,大连理工大学,申请
CN107045782A,赵莉莉,申请
CN205638521U,绵竹市鑫圣龙通风设备制造有限公司,申请
CN109375619A,中国铁路总公司,申请
CN109375619A,中国铁道科学研究院集团有限公司,申请
CN109375619A,中国铁道科学研究院集团有限公司铁道建筑研究所,申请
CN109410682A,太原理工大学,申请
CN205610942U,昆明聚讯科技有限公司,申请
CN206836045U,福建省亿焙机械有限公司,申请
CN205593490U,金鹏涛,申请
CN108318189A,西南交通大学,申请
CN108150209A,大连海事大学,申请
CN109869146A,三一重型装备有限公司,申请
CN108305322A,北方工业大学,申请
CN108305322A,中冶交通建设集团有限公司,申请
CN109707452A,四川省交通运输厅交通勘察设计研究院,申请
CN206413230U,长安大学,申请
CN207460554U,贵阳电气控制设备有限公司,申请
CN110162582A,山东百世通大数据科技有限公司,申请
CN107729663A,陈国,申请
CN109444951A,山东大学,申请
CN107476633A,宁波保税区攀峒信息科技有限公司,申请
CN109619164A,科威嘉尼（江苏）制冷设备有限公司,申请
CN107489126A,宁波保税区攀峒信息科技有限公司,申请
CN109393007A,科威嘉尼（江苏）制冷设备有限公司,申请
CN107786590A,大连楼兰科技股份有限公司,申请
CN107830890A,上海潮旅信息科技股份有限公司,申请
CN106157785A,武汉科技大学,申请
CN106089213A,同济大学,申请
CN107991999A,国家电网公司,申请
CN107991999A,北京许继电气有限公司,申请
CN106428285A,济南华北升降平台制造有限公司,申请
CN206389558U,国网山东省电力公司应急管理中心,申请
CN205749891U,国家电网公司,申请
CN205749891U,国网北京市电力公司,申请
CN110888423A,刘春梅,申请
CN106247965A,东南大学,申请
CN108225208A,辽宁工程技术大学,申请
CN205578033U,长安大学,申请
CN304783818S,刘辉,申请
CN108303732A,中国科学院武汉岩土力学研究所,申请
CN108303732A,中国地质大学（武汉）,申请
CN106813502A,贵州中德节能窑炉有限公司,申请
CN106640184A,长安大学,申请
CN108661687A,西安建筑科技大学,申请
CN109028944A,中原工学院,申请
CN207820179U,广州尚牛设计有限公司,申请
CN106625629A,长沙科达智能装备股份有限公司,申请
CN108805145A,中铁一局集团电务工程有限公司,申请
CN108805145A,中铁一局集团有限公司,申请
CN111260946A,南京锦和佳鑫信息科技有限公司,申请
CN109543283A,成都天佑智隧科技有限公司,申请
CN109543283A,仇文革,申请
CN207117840U,张虹,申请
CN106846825A,四川辉通云联数据科技有限公司,申请
CN108931230A,广州建设工程质量安全检测中心有限公司,申请
CN108931230A,广州市建筑科学研究院有限公司,申请
CN106621117A,天津市安睿森科技有限公司,申请
CN107961479A,武汉科技大学,申请
CN108692704A,中铁一局集团电务工程有限公司,申请
CN108692704A,中铁一局集团有限公司,申请
CN207182686U,厦门兴南洋信息技术有限公司,申请
CN107651457A,徐州市申克测控机电设备有限公司,申请
CN108418599A,中南大学,申请
CN108104832A,山东天勤工程科技有限公司,申请
CN108104832A,山东大学,申请
CN108343445A,中国矿业大学,申请
CN107215680A,云南省机械研究设计院,申请
CN207212367U,重庆工业职业技术学院,申请
CN207476804U,湖北巴山食品有限责任公司,申请
CN208040400U,浙江交工集团股份有限公司,申请
CN108086198A,河北中岗通讯工程有限公司,申请
CN107993048A,苏州帝夫云道网络科技有限公司,申请
CN205743958U,中交一公局第五工程有限公司,申请
CN106941901A,南阳师范学院,申请
CN107747936A,建研地基基础工程有限责任公司,申请
CN107747936A,北京中力智研物联科技有限公司,申请
CN108916832A,扬州道明智控科技有限公司,申请
CN206487502U,天津市安睿森科技有限公司,申请
CN108248635A,刘春梅,申请
CN107967589A,宿州市皖发物流有限责任公司,申请
CN207920908U,国家电网公司,申请
CN207920908U,国网山东省电力公司潍坊供电公司,申请
CN109686104A,武汉静磁栅机电制造有限公司,申请
CN205592869U,中交一公局第五工程有限公司,申请
CN207469005U,安徽兴宇轨道装备有限公司,申请
CN207675227U,江西通慧科技股份有限公司,申请
CN108387243A,迪比（重庆）智能科技研究院有限公司,申请
CN106436765A,国家电网公司,申请
CN106436765A,国网山东省电力公司潍坊供电公司,申请
CN106436765A,潍坊方源电力咨询设计有限公司,申请
CN107123275A,深圳市迅朗科技有限公司,申请
CN106200651A,深圳市虹鹏能源科技有限责任公司,申请
CN109519640A,王子睿,申请
CN206281969U,北京路桥瑞通科技发展有限公司,申请
CN206281969U,北京市政路桥管理养护集团有限公司,申请
CN206281969U,北京市交通委员会路政局延庆公路分局,申请
CN105938645A,董方武,申请
CN105938645A,董源,申请
CN105938645A,马子余,申请
CN109145520A,重庆大学,申请
CN207555436U,丹阳市得煜新能源应用有限公司,申请
CN107404102A,中铁工程装备集团盾构制造有限公司,申请
CN108050988A,建研地基基础工程有限责任公司,申请
CN206047035U,宁夏共享模具有限公司,申请
CN106304545A,合肥通用电源设备有限公司,申请
CN207299960U,中冶华天南京电气工程技术有限公司,申请
CN207920629U,中国铁路经济规划研究院,申请
CN207920629U,北京铁五院工程机械有限公司,申请
CN207920629U,中铁第五勘察设计院集团有限公司,申请
CN109723452A,中煤科工集团上海有限公司,申请
CN109723452A,上海隧道工程有限公司,申请
CN105929539A,彭波,申请
CN109461756A,中国科学院微电子研究所,申请
CN207428316U,四川旭茂微科技有限公司,申请
CN205287369U,福建正扬科技有限公司,申请
CN205482051U,深圳市德捷力冷冻科技有限公司,申请
CN106442137A,西南交通大学,申请
CN107529021A,北京伟开赛德科技发展有限公司,申请
CN106303441A,山东康威通信技术股份有限公司,申请
CN207460976U,上海赛杰化工设备有限公司,申请
CN105945895A,徐洪军,申请
CN106980134A,广州汽车集团股份有限公司,申请
CN109314182A,高通股份有限公司,申请
CN109183601A,河北创恒智能装备科技有限公司,申请
CN105933033A,重庆开谨科技有限公司,申请
CN107700320A,薛恒鹤,申请
CN108650734A,阜阳师范学院,申请
CN206330012U,天津信普开元科技有限公司,申请
CN207314066U,安徽兴宇轨道装备有限公司,申请
CN207770335U,陕西金叶印务有限公司,申请
CN109756325A,成都零光量子科技有限公司,申请
CN205567692U,南昌金轩科技有限公司,申请
CN106916924A,范玫光,申请
CN107794873A,苏州奥柯图葳机电科技有限公司,申请
CN207131415U,中铁十六局北京轨道交通工程建设有限公司,申请
CN106546190A,山西省交通科学研究院,申请
CN206914354U,北京瑞途科技有限公司,申请
CN109262630A,山西省交通科学研究院,申请
CN207369365U,中建交通建设集团有限公司,申请
CN205689216U,西南交通大学,申请
CN205880514U,陈海生,申请
CN109094580A,湖南铁路科技职业技术学院,申请
CN105863685A,东南大学,申请
CN207314100U,安徽兴宇轨道装备有限公司,申请
CN108315678A,常州市左贤机械制造有限公司,申请
CN207663569U,天津市万众科技发展有限公司,申请
CN106534264A,国网上海市电力公司,申请
CN106534264A,上海电力实业有限公司,申请
CN109635406A,长沙科达智能装备股份有限公司,申请
CN107728141A,苏州奥柯图葳机电科技有限公司,申请
CN207376382U,安徽兴宇轨道装备有限公司,申请
CN108648490A,公安部交通管理科学研究所,申请
CN205792662U,广州市成格信息技术有限公司,申请
CN109611120A,中南大学,申请
CN109611120A,中建隧道建设有限公司,申请
CN206978360U,厦门嘉烨兴农业科技有限公司,申请
CN109122015A,福建省农业科学院,申请
CN109937165A,万喜建筑工程公司,申请
CN108961791A,武汉理工大学,申请
CN207152019U,中铁工程装备集团技术服务有限公司,申请
CN107146410A,安徽皖通科技股份有限公司,申请
CN109701841A,深圳市顺安恒科技发展有限公司,申请
CN206391816U,西南交通大学,申请
CN207194072U,长安大学,申请
CN108663980A,哈尔滨锅炉厂有限责任公司,申请
CN207641781U,珠海市康定电子股份有限公司,申请
CN206299404U,中电建水环境治理技术有限公司,申请
CN106851907A,广西交通科学研究院有限公司,申请
CN206968652U,中铁工程装备集团隧道设备制造有限公司,申请
CN106703832A,上海市地下空间设计研究总院有限公司,申请
CN107719226A,广东工业大学,申请
CN106761936A,上海城建投资发展有限公司,申请
CN106761936A,上海市地下空间设计研究总院有限公司,申请
CN207706491U,长安大学,申请
CN109413796A,顺德职业技术学院,申请
CN205844840U,广州市坤龙信息系统有限公司,申请
CN109209505A,重庆大学,申请
CN206894954U,深圳市长运通半导体技术有限公司,申请
CN205581542U,合肥润东通信科技股份有限公司,申请
CN108519127A,山东鲁能软件技术有限公司,申请
CN108519127A,国网山东省电力公司烟台供电公司,申请
CN109283930A,华南理工大学,申请
CN107044291A,重庆工业职业技术学院,申请
CN110535325A,严政,申请
CN107059521A,西南交通大学,申请
CN107059521A,重庆城市综合交通枢纽开发投资有限公司,申请
CN107059521A,中铁二院重庆勘察设计研究院有限责任公司,申请
CN107945284A,广州德科投资咨询有限公司,申请
CN206707761U,同济大学,申请
CN206707761U,杭州富阳城市建设投资集团有限公司,申请
CN107864541A,北京工业大学,申请
CN106089264A,东南大学,申请
CN108958053A,杭州电子科技大学,申请
CN108890659A,北京工业大学,申请
CN205351022U,深圳市雷摩电子有限公司,申请
CN205584249U,杭州爵航网络科技有限公司,申请
CN109035117A,李善伯,申请
CN107410988A,西华大学,申请
CN107410988A,成都新繁食品有限公司,申请
CN107410988A,国家农产品保鲜工程技术研究中心（天津）,申请
CN107991316A,深圳市山达士电子有限公司,申请
CN106404341A,甘肃路桥建设集团有限公司,申请
CN109506667A,上海智能交通有限公司,申请
CN105973285A,东南大学,申请
CN206429272U,中交第一公路勘察设计研究院有限公司,申请
CN206433244U,广西交通科学研究院有限公司,申请
CN109376194A,中铁工程装备集团有限公司,申请
CN107868643A,长春永固科技有限公司,申请
CN106932212A,西南交通大学,申请
CN106593534A,河北科技大学,申请
CN108920750A,武汉八维时空信息技术股份有限公司,申请
CN107714128A,中国人民解放军总医院,申请
CN109000728A,广州科易光电技术有限公司,申请
CN109150703A,北方工业大学,申请
CN206475962U,济南华北升降平台制造有限公司,申请
CN107740314A,安徽兴宇轨道装备有限公司,申请
CN205711656U,江苏智途科技股份有限公司,申请
CN207117833U,河南省鸿联通信建设工程有限公司,申请
CN106131902A,中南大学,申请
CN207884188U,北京中电永昌科技有限公司,申请
CN207048790U,中铁工程装备集团有限公司,申请
CN206063586U,张海强,申请
CN206063586U,晏小彬,申请
CN207776906U,华东交通大学,申请
CN108320444A,吉林省北亚智谷科技有限公司,申请
CN207741741U,四川省建业检验检测股份有限公司,申请
CN109341671A,北京工业大学,申请
CN107518243A,山东科朗特微波设备有限公司,申请
CN107518243A,厦门自贸片区燕安居实业有限公司,申请
CN207345159U,广州市普理司印刷科技有限公司,申请
CN108842860A,山西省交通规划勘察设计院,申请
CN109151383A,中铁十八局集团有限公司,申请
CN108489199A,深圳市鹏翔运达机械科技有限公司,申请
CN208129381U,山东科朗特微波设备有限公司,申请
CN208129381U,厦门自贸片区燕安居实业有限公司,申请
CN109118166A,中铁十八局集团有限公司,申请
CN109501818A,西北铁道电子股份有限公司,申请
CN205750799U,鞠苏明,申请
CN207391964U,安徽兴宇轨道装备有限公司,申请
CN109787907A,北京星河星云信息技术有限公司,申请
CN109787907A,北京星河世界集团有限公司,申请
CN207531144U,山西禾源科技股份有限公司,申请
CN106332345A,江苏长路能源科技发展有限公司,申请
CN109962794A,北京世纪东方通讯设备有限公司,申请
CN106097745A,成都猴子软件有限公司,申请
CN207598268U,河北吉玛自动化科技有限公司,申请
CN207598268U,河北星辰工程橡塑有限公司,申请
CN109811103A,范致英,申请
CN205782352U,杭州鑫煌照明科技有限公司,申请
CN108763775A,东南大学,申请
CN205681668U,深圳广动通用技术有限公司,申请
CN110641296A,李杰,申请
CN206156816U,广州市车会员电子科技有限公司,申请
CN205858757U,招商局重庆交通科研设计院有限公司,申请
CN207419326U,长安大学,申请
CN109000729A,广州科易光电技术有限公司,申请
CN107040445A,安徽新华博信息技术股份有限公司,申请
CN106211506A,安徽卓越电气有限公司,申请
CN206174526U,哈米德莱萨·莱萨·莫萨耶比,申请
CN109187574A,深圳市炬视科技有限公司,申请
CN109029723A,华中师范大学,申请
CN206409275U,西南交通大学,申请
CN110686609A,山东省科学院激光研究所,申请
CN108894825A,深圳市炬视科技有限公司,申请
CN108407829A,中车工业研究院有限公司,申请
CN109737883A,成都蕴才汇智科技有限责任公司,申请
CN207314065U,安徽兴宇轨道装备有限公司,申请
CN107237641A,水利部交通运输部国家能源局南京水利科学研究院,申请
CN207866127U,中铁十一局集团第四工程有限公司,申请
CN207866127U,中铁十一局集团有限公司,申请
CN108402172A,池州职业技术学院,申请
CN107327303A,中铁工程装备集团有限公司,申请
CN206959531U,四川中测量仪科技有限公司,申请
CN108651166A,房县荣森食用菌科技开发有限公司,申请
CN108776355A,山东大学,申请
CN107653165A,田高,申请
CN108036810A,中国铁路设计集团有限公司,申请
CN108036810A,中国船舶重工集团公司第七0七研究所,申请
CN206021335U,山东山大新元易通信息科技有限公司,申请
CN206021335U,贵州省烟草公司黔南州公司,申请
CN111251005A,中铁第四勘察设计院集团有限公司,申请
CN107719411A,中原工学院,申请
CN109428896A,北京金坤科创技术有限公司,申请
CN207351417U,苏交科集团股份有限公司,申请
CN106744344A,唐肖近,申请
CN106250615A,铁道第三勘察设计院集团有限公司,申请
CN105903766A,鑫鹏源智能装备集团有限公司,申请
CN205692610U,湖北华特红旗电缆有限公司,申请
CN108894797A,中铁工程装备集团有限公司,申请
CN109026067A,福建工程学院,申请
CN109209461A,同济大学,申请
CN206249517U,广州神科光电科技有限公司,申请
CN105903636A,王江,申请
CN303906047S,亿嘉和科技股份有限公司,申请
CN107201912A,哈尔滨工程大学,申请
CN207397009U,河南天维钢品有限公司,申请
CN106793286A,大连海事大学,申请
CN207167561U,中国农业科学院农产品加工研究所,申请
CN106043636A,武汉理工大学,申请
CN107817774A,吉安市满坤科技有限公司,申请
CN108564751A,国网重庆市电力公司,申请
CN108564751A,国网重庆市电力公司江北供电公司,申请
CN109410620A,天津卡达克数据有限公司,申请
CN107426531A,上海欧忆能源科技有限公司,申请
CN107426531A,国网上海市电力公司,申请
CN108095750A,西门子医疗有限公司,申请
CN107269276A,中国矿业大学,申请
CN206985212U,云南省机械研究设计院,申请
CN108535721A,山东大学,申请
CN107700289A,安徽兴宇轨道装备有限公司,申请
CN108109210A,广州德科投资咨询有限公司,申请
CN109048946A,中国铁路总公司,申请
CN109048946A,中国铁道科学研究院集团有限公司,申请
CN109048946A,中国铁道科学研究院集团有限公司铁道建筑研究所,申请
CN107185635A,湖南农业大学,申请
CN108407835A,新誉轨道交通科技有限公司,申请
CN108487916A,大连海事大学,申请
CN110390451A,网帅科技（北京）有限公司,申请
CN109519716A,山西省交通建设工程监理有限责任公司,申请
CN109519716A,张瑞峰,申请
CN110058224A,中国铁路总公司,申请
CN110058224A,中国铁道科学研究院集团有限公司,申请
CN110058224A,中国铁道科学研究院集团有限公司铁道建筑研究所,申请
CN207235164U,北京佳讯飞鸿技术有限公司,申请
CN108426562A,北京雷图科技有限公司,申请
CN108582445A,中国水利水电夹江水工机械有限公司,申请
CN108582445A,中国水利水电第七工程局有限公司,申请
CN108868822A,平顶山平煤机煤矿机械装备有限公司,申请
CN107426219A,湖南中车时代通信信号有限公司,申请
CN206287916U,王江涛,申请
CN107146065A,中国铁道科学研究院电子计算技术研究所,申请
CN107146065A,北京经纬信息技术公司,申请
CN107146065A,中国铁道科学研究院,申请
CN107386405A,沈阳建筑大学,申请
CN109643719A,英特尔公司,申请
CN207332941U,天津城建集团特种工程有限公司,申请
CN106873560A,大连海事大学,申请
CN107419800A,沈阳建筑大学,申请
CN107780960A,西安聚投未来网络科技有限公司,申请
CN206890259U,福建荣宏光电科技有限公司,申请
CN107592706A,中建交通建设集团有限公司,申请
CN107882584A,中铁十八局集团有限公司,申请
CN107882584A,山东大学,申请
CN108853838A,安徽世纪凯旋消防科技有限公司,申请
CN108445524A,中铁济南工程技术有限公司,申请
CN108445524A,山东大学,申请
CN109236326A,中铁一局集团有限公司,申请
CN109236326A,中铁一局集团第四工程有限公司,申请
CN106733729A,红塔烟草(集团)有限责任公司,申请
CN206696562U,山东昊润新材料有限公司,申请
CN109036332A,奇酷互联网络科技（深圳）有限公司,申请
CN106555980A,长安大学,申请
CN205347369U,李观德,申请
CN109032400A,努比亚技术有限公司,申请
CN107436145A,海华电子企业（中国）有限公司,申请
CN106378505A,南京航空航天大学,申请
CN109756872A,国网山东省电力公司电力科学研究院,申请
CN207497789U,深圳市威利特自动化设备有限公司,申请
CN109489724A,大连维德轨道装备有限公司,申请
CN108133344A,武汉科技大学,申请
CN207304732U,北京伟开赛德科技发展有限公司,申请
CN205477664U,北京市政建设集团有限责任公司,申请
CN207469396U,沈阳建筑大学,申请
CN108376473A,招商局重庆交通科研设计院有限公司,申请
CN205566774U,尹祚莹,申请
CN207045363U,北京瑞途科技有限公司,申请
CN107620610A,苏州大方特种车股份有限公司,申请
CN106041002A,宁夏共享模具有限公司,申请
CN206894953U,深圳市长运通半导体技术有限公司,申请
CN107453270A,国网辽宁省电力有限公司葫芦岛供电公司,申请
CN107395413A,湖南竞投智能信息技术有限公司,申请
CN106680867A,大连理工大学,申请
CN107893660A,成都大学,申请
CN109521739A,南京华盛智能物联网有限责任公司,申请
CN106444483A,天津港峰门窗制品股份有限公司,申请
CN108108388A,青岛国信发展（集团）有限责任公司,申请
CN105946317A,福建夜光达科技股份有限公司,申请
CN206920249U,西南交通大学,申请
CN109671276A,南京唯实科技有限公司,申请
CN107950048A,三星电子株式会社,申请
CN108956724A,江苏久创电气科技有限公司,申请
CN206061236U,华东交通大学,申请
CN207866779U,西安建筑科技大学,申请
CN207603098U,广东省输变电工程有限公司,申请
CN206888987U,合肥引力波数据科技有限公司,申请
CN107035390A,山东大学,申请
CN108023802A,中国移动通信集团公司,申请
CN108023802A,广州市成格信息技术有限公司,申请
CN108023802A,中国移动通信集团广东有限公司,申请
CN207115578U,倪景津,申请
CN207397474U,上海工程技术大学,申请
CN105921544A,鑫鹏源智能装备集团有限公司,申请
CN107151990A,山东大学,申请
CN207867274U,云南云岭高速公路交通科技有限公司,申请
CN206133216U,路远,申请
CN206805701U,广东三读演义智能科技有限公司,申请
CN207197582U,四川精智仪表科技有限公司,申请
CN206930892U,雷恩传媒股份有限公司,申请
CN205805551U,大连乾亿重型装备有限公司,申请
CN105862940A,南昌市政公用投资控股有限责任公司,申请
CN105862940A,上海交通大学,申请
CN105862940A,上海交大海洋水下工程科学研究院有限公司,申请
CN109285373A,南京锦和佳鑫信息科技有限公司,申请
CN207586126U,南京卓茨机电科技有限公司,申请
CN207211352U,沈阳建筑大学,申请
CN106895663A,广州番中电气设备有限公司,申请
CN108663090A,国网福建省电力有限公司厦门供电公司,申请
CN108663090A,国网福建省电力有限公司,申请
CN109150685A,哈尔滨工业大学(威海),申请
CN107701217A,西安汉河环保科技有限公司,申请
CN207096776U,深圳市天俊智能卡有限公司,申请
CN207731349U,陕西惠齐电力科技开发有限公司,申请
CN109441428A,中国三峡建设管理有限公司,申请
CN107941151A,上海岩土工程勘察设计研究院有限公司,申请
CN108134794A,南京航空航天大学,申请
CN206960914U,扬州华电电气有限公司,申请
CN106954042A,兰州交通大学,申请
CN106954042A,辽宁奥斯勃轨道交通装备制造有限公司,申请
CN106954042A,兰州通达凯智铁路科技有限公司,申请
CN206537521U,遵义师范学院,申请
CN206205939U,成都四为电子信息股份有限公司,申请
CN206235647U,深圳科安达电子科技股份有限公司,申请
CN109100735A,辽宁工程技术大学,申请
CN109653798A,浙江合作力科技股份有限公司,申请
CN108200199A,重庆大学,申请
CN106515724A,深圳市元征科技股份有限公司,申请
CN207316769U,华北电力大学（保定）,申请
CN106630791A,同济大学,申请
CN110361015A,长城汽车股份有限公司,申请
CN106333716A,昆明医科大学第一附属医院,申请
CN109405758A,四川大学,申请
CN205898165U,东南大学,申请
CN206363137U,郑州蓝视科技有限公司,申请
CN304003953S,广东科凯达智能机器人有限公司,申请
CN106714386A,广西交通科学研究院有限公司,申请
CN108961678A,华慧视科技（天津）有限公司,申请
CN109466286A,侯力宇,申请
CN106124613A,北京工业大学,申请
CN108071370A,梁嘉麟,申请
CN108180023A,浙江交工集团股份有限公司,申请
CN107065730A,安徽皖通科技股份有限公司,申请
CN106125694A,深圳市信宇人科技有限公司,申请
CN107589672A,三峡大学,申请
CN206670828U,武汉大学,申请
CN206103150U,国家电网公司,申请
CN206103150U,国网山东省电力公司淄博供电公司,申请
CN108625778A,北京中岩大地科技股份有限公司,申请
CN205372293U,任锴,申请
CN110393090A,鲁国庆,申请
CN108687178A,郑州强瑞电子科技有限公司,申请
CN108071371A,中国计量大学,申请
CN206540369U,河南中联热科工业节能有限公司,申请
CN207472722U,中国交通建设股份有限公司,申请
CN207472722U,中交上海三航科学研究院有限公司,申请
CN207472722U,中交第三航务工程局有限公司,申请
CN109532893A,天津亨通利铁道工程机械配件有限公司,申请
CN109493594A,四川中旺建设集团有限公司,申请
CN205377435U,兰州理工大学,申请
CN207729454U,中交机电工程局有限公司,申请
CN304733905S,山东康威通信技术股份有限公司,申请
CN206012462U,冯明宪,申请
CN109308817A,中铁十八局集团第一工程有限公司,申请
CN109308817A,山东大学,申请
CN107433952A,北京瑞途科技有限公司,申请
CN106897813A,同济大学,申请
CN109367518A,李平,申请
CN109367518A,王勇,申请
CN109367518A,胡科,申请
CN207961974U,广东合筑建设劳务有限公司,申请
CN109325836A,王彬彬,申请
CN106383261A,深圳科安达电子科技股份有限公司,申请
CN106075773A,国家电网公司,申请
CN106075773A,国网山东省电力公司淄博供电公司,申请
CN207920630U,中国铁路经济规划研究院,申请
CN207920630U,高原荣之,申请
CN207177916U,西南交通大学,申请
CN107143344A,成都金玉雄辉建筑工程有限公司,申请
CN106710358A,赵莉莉,申请
CN207717530U,湖北宣鹤高速公路有限公司,申请
CN207717530U,山东大学,申请
CN207315443U,苏州大方特种车股份有限公司,申请
CN108286978A,北京四维图新科技股份有限公司,申请
CN205721367U,袁孝红,申请
CN205860482U,三明市同硕机械制造有限公司,申请
CN106604119A,TCL集团股份有限公司,申请
CN109613332A,南京铁道职业技术学院,申请
CN207809336U,车帮手（天津）科技有限公司,申请
CN109142843A,芜湖英特杰智能科技有限公司,申请
CN206192624U,甘肃路桥建设集团有限公司,申请
CN108547665A,淮阴工学院,申请
CN205684510U,鑫鹏源智能装备集团有限公司,申请
CN107097464A,广州市普理司印刷科技有限公司,申请
CN106330262A,国网河南省电力公司开封供电公司,申请
CN108388689A,天津大学,申请
CN207379513U,江西通慧科技股份有限公司,申请
CN107725094A,西安汉河环保科技有限公司,申请
CN108239899A,招商局重庆交通科研设计院有限公司,申请
CN108562402A,西南交通大学,申请
CN207519600U,河南中烟工业有限责任公司,申请
CN106028591A,湖南博广信息科技有限公司,申请
CN206730330U,陕西银河消防科技装备股份有限公司,申请
CN108447291A,南京锦和佳鑫信息科技有限公司,申请
CN108731730A,北京四方继保自动化股份有限公司,申请
CN207235184U,刘向彬,申请
CN108712783A,新华三技术有限公司,申请
CN107231736A,安徽卓上光电科技有限责任公司,申请
CN107613013A,广州威能机电有限公司,申请
CN205597081U,三明市鸿达智能农业设备有限公司,申请
CN108533323A,苏州龙骐自动化科技有限公司,申请
CN206057299U,安徽理工大学,申请
CN206892943U,漳州市厦漳高速公路有限责任公司,申请
CN107437904A,武汉理工大学,申请
CN110619729A,上海隧能科技有限公司,申请
CN109571769A,中国十九冶集团有限公司,申请
CN207406053U,哈姆雷斯国际贸易（北京）有限公司,申请
CN108836457A,昆明医科大学第一附属医院,申请
CN206058500U,中铁五局集团成都工程有限责任公司,申请
CN206280816U,湖南省日晶照明科技有限责任公司,申请
CN108412512A,庄玉琼,申请
CN108684007A,廖强,申请
CN109643754A,高通股份有限公司,申请
CN206311207U,天津朗思世纪科技发展有限公司,申请
CN106357289A,深圳市虹鹏能源科技有限责任公司,申请
CN109152168A,北海飞九天电子科技有限公司,申请
CN106953839A,重庆邮电大学,申请
CN207585761U,南京卓茨机电科技有限公司,申请
CN206987892U,中交二公局东萌工程有限公司,申请
CN105862556A,江苏智途科技股份有限公司,申请
CN206247808U,登封市宏远电热元件有限公司,申请
CN108279097A,西南交通大学,申请
CN208030125U,广州高馨能生物科技有限公司,申请
CN108798682A,西安建筑科技大学,申请
CN206205924U,铁道第三勘察设计院集团有限公司,申请
CN206205924U,上海森林特种钢门有限公司,申请
CN109691016A,卡列普顿国际有限公司,申请
CN107479490A,湖南沄辉科技股份有限公司,申请
CN107479490A,广州地铁设计研究院有限公司,申请
CN109375549A,上海塔盟网络科技有限公司,申请
CN207039950U,山西交科信息系统工程有限公司,申请
CN206193505U,北京中建柏利工程技术发展有限公司,申请
CN206193505U,中国建筑股份有限公司,申请
CN207133639U,南京国铁电气有限责任公司,申请
CN205491391U,西京学院,申请
CN108663121A,武汉多谱多勒科技有限公司,申请
CN206692967U,西南交通大学,申请
CN206692967U,重庆城市综合交通枢纽开发投资有限公司,申请
CN206692967U,中铁二院重庆勘察设计研究院有限责任公司,申请
CN207212346U,贵阳市城市轨道交通有限公司,申请
CN106638183A,中铁五局集团有限公司,申请
CN106638183A,中铁五局集团第六工程有限责任公司,申请
CN106341255A,思科技术公司,申请
CN205876393U,尹晓普,申请
CN106941754A,上海博昂电气有限公司,申请
CN207879377U,江西通慧科技股份有限公司,申请
CN106990441A,山东大学,申请
CN108590765A,山东大学,申请
CN109534769A,沈阳建筑大学,申请
